,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
33,2016,"i hate u, i love u (feat. olivia o'brien)",us,gnash,2016-03-25,251033,77,0.687,0.492,0.275,0.0,0.101,-13.4,0.3,92.6,4
34,2016,PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,202746,77,0.117,0.584,0.7,0.0,0.0939,-4.275,0.0456,124.944,4
35,2016,My Way,My Way,Calvin Harris,2016-09-16,219159,77,0.093,0.818,0.913,3.69e-05,0.161,-3.06,0.0426,119.986,4
36,2016,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,2016-06-24,243490,77,0.255,0.502,0.786,0.0,0.65,-4.378,0.317,169.021,4
37,2016,White Iverson,Stoney (Deluxe),Post Malone,2016-12-09,256533,77,0.233,0.675,0.562,0.0,0.0816,-7.678,0.0352,130.098,4
38,2016,This Girl (Kungs Vs. Cookin' On 3 Burners),Layers,Kungs,2016-11-04,195546,76,0.0927,0.792,0.717,3.59e-05,0.226,-4.759,0.0393,121.985,4
39,2016,Ophelia,Cleopatra,The Lumineers,2016-04-08,160097,76,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,76.023,4
40,2016,Renegades,VHS,X Ambassadors,2015-06-30,195200,76,0.0144,0.526,0.862,0.0597,0.229,-6.003,0.0905,90.052,4
41,2016,My House,My House,Flo Rida,2015-04-07,192190,76,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,4
42,2016,Say It,I Told You,Tory Lanez,2016-08-19,237786,75,0.0862,0.546,0.529,6.5e-06,0.124,-10.511,0.0583,107.331,4
43,2016,Perfect Strangers,Blue,Jonas Blue,2018-11-09,196613,75,0.39,0.73,0.861,0.0,0.213,-4.1,0.0451,117.965,4
44,2016,Middle,Encore,DJ Snake,2016-08-05,220573,75,0.0141,0.583,0.695,0.0,0.0527,-5.336,0.0423,104.879,4
45,2016,Low Life (feat. The Weeknd),EVOL,Future,2016-04-13,313546,75,0.337,0.722,0.331,0.282,0.146,-7.789,0.0726,143.961,4
