,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
70,2016,BeFoUr,BeFoUr,ZAYN,2016-03-17,208920,30,0.242,0.679,0.629,0.012,0.122,-7.981,0.0318,102.005,4
71,2016,Drunk In The Morning,Drunk In The Morning,Lukas Graham,2016-02-05,203080,0,0.0614,0.768,0.744,0.0,0.177,-4.721,0.0426,93.537,4
72,2016,"Or Nah (feat. Wiz Khalifa) - Live at the Village, Los Angeles, CA",Spotify Session,Ty Dolla $ign,2016-02-19,263141,39,0.0385,0.703,0.423,0.0,0.0476,-8.589,0.0406,121.991,4
73,2016,"Paranoid - Live at the Village, Los Angeles, CA",Spotify Session,Ty Dolla $ign,2016-02-19,146592,18,0.147,0.676,0.492,0.0,0.0936,-10.433,0.0753,97.4,4
74,2016,"Blasé - Live at the Village, Los Angeles, CA",Spotify Session,Ty Dolla $ign,2016-02-19,152043,13,0.0142,0.679,0.721,7.1e-06,0.0781,-7.686,0.0368,127.976,4
75,2016,Stressed Out,Blurryface,Twenty One Pilots,2015-05-15,202333,84,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4
76,2016,Panda,Panda,Desiigner,2016-02-26,247866,67,0.0292,0.685,0.731,0.0,0.369,-5.503,0.414,145.245,4
77,2016,Eraser,÷ (Deluxe),Ed Sheeran,2017-03-03,227426,59,0.086,0.64,0.812,0.0,0.0509,-5.647,0.0834,86.013,4
78,2016,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,78,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4
79,2016,Dive,÷ (Deluxe),Ed Sheeran,2017-03-03,238440,74,0.355,0.761,0.386,0.0,0.0953,-6.158,0.0399,134.943,3
80,2016,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,85,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
81,2016,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
82,2016,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,78,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,4
83,2016,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,80,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,4
84,2016,New Man,÷ (Deluxe),Ed Sheeran,2017-03-03,189280,65,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,4
85,2016,Hearts Don't Break Around Here,÷ (Deluxe),Ed Sheeran,2017-03-03,248413,63,0.719,0.604,0.366,0.0,0.162,-7.881,0.0267,105.177,3
86,2016,What Do I Know?,÷ (Deluxe),Ed Sheeran,2017-03-03,237333,67,0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,4
87,2016,How Would You Feel (Paean),÷ (Deluxe),Ed Sheeran,2017-03-03,280533,66,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,4
88,2016,Supermarket Flowers,÷ (Deluxe),Ed Sheeran,2017-03-03,221106,76,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,4
89,2016,Barcelona,÷ (Deluxe),Ed Sheeran,2017-03-03,191146,64,0.448,0.747,0.76,0.0,0.153,-4.294,0.187,99.975,4
90,2016,Bibia Be Ye Ye,÷ (Deluxe),Ed Sheeran,2017-03-03,176746,61,0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,4
91,2016,Nancy Mulligan,÷ (Deluxe),Ed Sheeran,2017-03-03,179786,65,0.117,0.68,0.852,0.0,0.0866,-4.35,0.0349,101.993,4
92,2016,Save Myself,÷ (Deluxe),Ed Sheeran,2017-03-03,247106,62,0.85,0.552,0.29,0.0,0.227,-5.617,0.0448,78.842,4
93,2016,One,x (Deluxe Edition),Ed Sheeran,2014-06-21,252760,62,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,4
94,2016,I'm a Mess,x (Deluxe Edition),Ed Sheeran,2014-06-21,244573,64,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,4
95,2016,Sing,x (Deluxe Edition),Ed Sheeran,2014-06-21,235382,69,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,4
96,2016,Don't,x (Deluxe Edition),Ed Sheeran,2014-06-21,219840,71,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,4
97,2016,Nina,x (Deluxe Edition),Ed Sheeran,2014-06-21,225533,56,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,4
98,2016,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,85,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4
99,2016,Bloodstream,x (Deluxe Edition),Ed Sheeran,2014-06-21,300253,65,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,4
